id,created_at,content,post_time_of_day,post_day_of_week,sentiment_score,emotion_label,location,geolocation,account,reblogs_count,favourites_count,url
114112463726383712,2025-03-05T23:40:10+00:00,Big private health insurers make huge profits… but they want you to pay more https:// australiainstitute.org.au/post /big-private-health-insurers-make-huge-profits-but-they-want-you-to-pay-more/?utm_source=rss&utm_medium=rss&utm_campaign=big-private-health-insurers-make-huge-profits-but-they-want-you-to-pay-more # Auspol,Evening,Wednesday,0.18000000000000002,positive,Gold Coast,"-28.016667,153.400000",IndyMediaAus@mastodon.social,1,0,https://mastodon.social/@IndyMediaAus/114112463553282035
114112443869465587,2025-03-05T23:35:09+00:00,Australian universities are shamefully deploying the Heritage Foundation's fascist Project Esther as well as their US counterparts. https:// everythingisfine.beehiiv.com/p /trans-usyd-student-fights-refoulement # OzFascism # auspol # StopIsrael # ZionismIsWhiteSupremacism,Evening,Wednesday,0.0,neutral,Hobart,"-42.882137,147.327195",Jinjirrie@mastodon.social,1,0,https://mastodon.social/@Jinjirrie/114112443823411670
114112439316165983,2025-03-05T23:33:43+00:00,Zionist corruption of our government and media have been in train for at least four decades @ MaxG https:// threadreaderapp.com/thread/174 2340927295832198.html We don't have time to remedy it gently. Perhaps our only option is revolution. # AusPol # zionism # ForeignInterference,Evening,Wednesday,-0.04285714285714286,negative,Sydney,"-33.868820,151.209296",DropBear@theblower.au,3,1,https://theblower.au/@DropBear/114112438146015635
114112404572656052,2025-03-05T23:25:07+00:00,Pay a fortune in premiums or risk losing everything – the brutal reality of Australia’s insurance crisis https:// australiainstitute.org.au/post /pay-a-fortune-in-premiums-or-risk-losing-everything-the-brutal-reality-of-australias-insurance-crisis/?utm_source=rss&utm_medium=rss&utm_campaign=pay-a-fortune-in-premiums-or-risk-losing-everything-the-brutal-reality-of-australias-insurance-crisis # Auspol,Evening,Wednesday,-0.2916666666666667,negative,Hobart,"-42.882137,147.327195",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/114112404356760107
114112392970825083,2025-03-05T23:22:12+00:00,National rallies: Stop killing women https://www. greenleft.org.au/content/natio nal-rallies-stop-killing-women # Auspol,Evening,Wednesday,0.0,neutral,Melbourne,"-37.813629,144.963058",IndyMediaAus@mastodon.social,1,0,https://mastodon.social/@IndyMediaAus/114112392857338825
114112351205919860,2025-03-05T23:11:36.491000+00:00,"""The reason I became a whistleblower was: what I saw in the Australian military was so bad, and they weren't going to fix themselves and something had to be done about it."" - David McBride My Story https://www. youtube.com/watch?v=56cleIKdt0 c # auspol # FreeMcBride # PardonMcBride",Evening,Wednesday,-0.19999999999999996,negative,Sydney,"-33.868820,151.209296",mcbride_campaign,0,0,https://mastodon.au/@mcbride_campaign/114112351205919860
114112349202925938,2025-03-05T23:11:05.927000+00:00,"$78,515,181 in Federal contracts to the big consultants in 2025. $319,369 yesterday. - KPMG: $319,369 {494} ( https:// politicalgadgets.com ) # auspol",Evening,Wednesday,0.0,neutral,Darwin,"-12.463440,130.845642",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/114112349202925938
114112342162876535,2025-03-05T23:09:13+00:00,Is there a shift in our appreciation of dissent? https:// johnmenadue.com/is-there-a-shi ft-in-our-appreciation-of-dissent/ # Auspol,Evening,Wednesday,0.0,neutral,Sydney,"-33.868820,151.209296",IndyMediaAus@mastodon.social,2,0,https://mastodon.social/@IndyMediaAus/114112341829798147
114112294565554917,2025-03-05T22:57:08+00:00,Pay a fortune in premiums or risk losing everything – the brutal reality of Australia’s insurance crisis https:// australiainstitute.org.au/post /pay-a-fortune-in-premiums-or-risk-losing-everything-the-brutal-reality-of-australias-insurance-crisis/?utm_source=rss&utm_medium=rss&utm_campaign=pay-a-fortune-in-premiums-or-risk-losing-everything-the-brutal-reality-of-australias-insurance-crisis # Auspol,Evening,Wednesday,-0.2916666666666667,negative,Hobart,"-42.882137,147.327195",IndyMediaAus@mastodon.social,1,0,https://mastodon.social/@IndyMediaAus/114112294312765434
114112268276138827,2025-03-05T22:50:30+00:00,NIMBYs object to building apartment buildings without any car parking on the basis that people will just get cars anyway' and park on the street. That might be a reasonable concern for a single small apartment building but gets ridiculous if you've got more apartment buildings without car parking. On-street parking is very low capacity so once you've got more than 30 apartments on a street it's no longer even physically possible for people in the apartments to get cars and park on the street. But if you do build car parking in apartment buildings then you've got to deal with traffic and traffic that gets worse with every additional apartment building. Building apartment buildings with no car parking is the only way to address the housing crisis. # vicpol # auspol # HousingCrisisAustralia,Evening,Wednesday,0.011172161172161176,positive,Melbourne,"-37.813629,144.963058",jessta@aus.social,5,1,https://aus.social/@jessta/114112268230498142
114112259903106039,2025-03-05T22:48:22+00:00,# TheConversation # auspol Elon Musk thinks the US should leave the UN – what if Trump does it? Read more… https:// theconversation.com/elon-musk- thinks-the-us-should-leave-the-un-what-if-trump-does-it-251483,Evening,Wednesday,0.0,neutral,Brisbane,"-27.469770,153.025131",Alpha1Nine@aus.social,2,0,https://aus.social/@Alpha1Nine/114112259868608076
114112252466700820,2025-03-05T22:46:29+00:00,https://www. michaelmoore.com/p/overwhelm-o verreach-overthrown?utm_source=multiple-personal-recommendations-email&utm_medium=email&triedRedirect=true - I find myself thinking of the fate of Nicolai Ceaușescu - the  fate of all dictators. . # auspol,Evening,Wednesday,0.0,neutral,Canberra,"-35.280937,149.130009",andyjennings@aus.social,4,0,https://aus.social/@andyjennings/114112252437677005
114112216921092593,2025-03-05T22:36:53+00:00,"Interesting to hear so much push back about the election being called this weekend due to Cyclone Alfred. It makes sense in some ways but must be frustrating for the government especially as it would force them to deliver a budget if they hold off A budget I don't think they want to deliver as the numbers won't be pretty. As an example of why, Newcastle Coal fell to under $100 this week, the 5 year price had been over $150. That's going to whack the budget bottom line Looks like we might be back to 17 May Alfred playing along as well, stalling a bit and delaying landfall. Hopefully it turns around and goes back out to sea Stay safe South East Queenslanders # auspol",Evening,Wednesday,0.042499999999999996,positive,Canberra,"-35.280937,149.130009",HardBeingGreen@theblower.au,1,0,https://theblower.au/@HardBeingGreen/114112214722641338
114112204515667170,2025-03-05T22:34:17+00:00,# TheConversation # Energy # Environment # auspol Weakening currents in the Atlantic may mean a wetter northern Australia and drier New Zealand Read more… https:// theconversation.com/weakening- currents-in-the-atlantic-may-mean-a-wetter-northern-australia-and-drier-new-zealand-248679,Evening,Wednesday,-0.025162337662337664,negative,Sydney,"-33.868820,151.209296",Alpha1Nine@aus.social,2,0,https://aus.social/@Alpha1Nine/114112204476034398
114112194403559307,2025-03-05T22:31:43+00:00,Both parties need to explain their supplication to Trump. # auspol https://www. theguardian.com/commentisfree/ 2025/mar/05/the-dangerous-folly-of-australias-come-what-may-sycophancy-towards-trump-is-on-full-display,Evening,Wednesday,0.0,neutral,Hobart,"-42.882137,147.327195",Old_IT_geek@techhub.social,1,1,https://techhub.social/@Old_IT_geek/114112194369988029
