id,created_at,content,post_time_of_day,post_day_of_week,sentiment_score,emotion_label,location,geolocation,account,reblogs_count,favourites_count,url
113778272825472677,2025-01-05T23:11:04.941000+00:00,"$1,187,800 in Federal contracts to the big consultants in 2025. $0 yesterday. {673} ( https:// politicalgadgets.com ) # auspol",Evening,Sunday,0.0,neutral,Perth,"-31.950527,115.860458",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/113778272825472677
113778234274042002,2025-01-05T23:01:16.689000+00:00,"Scamps, Dr Sophie, Member for Mackellar, NSW DELETED: 4. Directorships of companies ADJU Pty Ltd trust company - resignation of directorship; # auspol https:// politicalgadgets.com/Interests /interests_display/?1736118066 ( https:// politicalgadgets.com/Interests /interests_display/?1736118066 ) # auspol",Evening,Sunday,0.0,neutral,Canberra,"-35.280937,149.130009",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/113778234274042002
113778221923015997,2025-01-05T22:58:07+00:00,"Feeble defence from ABC confirms abject failure to report Labor accurately https:// independentaustralia.net/polit ics/politics-display/feeble-defence-from-abc-confirms-abject-failure-to-report-labor-accurately,19300?utm_source=rss&utm_medium=rss&utm_campaign=IA_Feed # Auspol",Evening,Sunday,0.020833333333333343,positive,Brisbane,"-27.469770,153.025131",IndyMediaAus@mastodon.social,3,0,https://mastodon.social/@IndyMediaAus/113778221869851173
113778186720493465,2025-01-05T22:49:10+00:00,"# TheConversation # auspol Feeble defence from ABC confirms abject failure to report Labor accurately Read more… https:// independentaustralia.net/polit ics/politics-display/feeble-defence-from-abc-confirms-abject-failure-to-report-labor-accurately,19300?utm_source=rss&utm_medium=rss&utm_campaign=IA_Feed",Evening,Sunday,-0.06944444444444443,negative,Adelaide,"-34.928497,138.600739",Alpha1Nine@aus.social,0,0,https://aus.social/@Alpha1Nine/113778186688948198
113778167541502341,2025-01-05T22:44:17+00:00,"# TheConversation # auspol Feeble defence from ABC confirms abject failure to report Labor accurately Read more… https:// independentaustralia.net/polit ics/politics-display/feeble-defence-from-abc-confirms-abject-failure-to-report-labor-accurately,19300?utm_source=rss&utm_medium=rss&utm_campaign=IA_Feed",Evening,Sunday,-0.06944444444444443,negative,Adelaide,"-34.928497,138.600739",Alpha1Nine@aus.social,3,0,https://aus.social/@Alpha1Nine/113778167473128747
113778129570922453,2025-01-05T22:34:36+00:00,I've included a link to a pre-Christmas blog post by Antony Green for reference So when will the election be? I only get 4 choices so couldn't add a see results button All have pros and cons so I'll be interested to see what people think # auspol https:// antonygreen.com.au/will-austra lia-have-its-first-february-election-and-what-about-the-wa-election-date/,Evening,Sunday,0.009999999999999998,positive,Adelaide,"-34.928497,138.600739",HardBeingGreen@theblower.au,1,0,https://theblower.au/@HardBeingGreen/113778129424817215
113778124312486830,2025-01-05T22:33:17+00:00,@ feather1952 Woo Hoo!! More of this please! # auspol,Evening,Sunday,0.0,neutral,Brisbane,"-27.469770,153.025131",Bot4Sale@fairdinkum.one,0,0,https://fairdinkum.one/@Bot4Sale/113778124233275776
113778036894959423,2025-01-05T22:11:04.919000+00:00,"$34,000 in Federal political donations from PITCHER, RONALD. {883} ( https:// politicalgadgets.com/ ) # auspol",Evening,Sunday,0.0,neutral,Perth,"-31.950527,115.860458",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/113778036894959423
113778033452626485,2025-01-05T22:10:11+00:00,US helps Syria’s ruling al-Qaeda offshoot while punishing its people https:// johnmenadue.com/us-helps-syria s-ruling-al-qaeda-offshoot-while-punishing-its-people/ # Auspol,Evening,Sunday,0.0,neutral,Melbourne,"-37.813629,144.963058",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113778033397564916
113777952055919712,2025-01-05T21:49:30+00:00,"Jacque Lambie showing all the self-awareness for which she is so famous: “Most people don’t want to see a politician over this … three weeks, you know, from about the 20th probably to about the 10th or 15th of January. So to be out there and campaigning now, I just I don’t know whether that will just annoy the people more or what …” (Guardian quoting ABC, so who knows/cares what was really said). # auspol",Evening,Sunday,0.24,positive,Brisbane,"-27.469770,153.025131",ibk@aus.social,0,1,https://aus.social/@ibk/113777952035899891
113777907578292641,2025-01-05T21:38:10+00:00,Building a new concrete revolution to net zero https:// johnmenadue.com/building-a-new -concrete-revolution-to-net-zero/ # Auspol,Evening,Sunday,0.057272727272727274,positive,Darwin,"-12.463440,130.845642",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113777907491635539
113777800934034721,2025-01-05T21:11:04.456000+00:00,Jodie Belyea is 54.37% Barnaby Joyce. {523} ( https:// politicalgadgets.com/HowPolsVo te/voteslikejoycep/ ) # auspol # votes_like,Evening,Sunday,0.0,neutral,Canberra,"-35.280937,149.130009",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/113777800934034721
113777714744413070,2025-01-05T20:49:08+00:00,"Entertaining article. What is ""the fair go"", after all, but a socialist principle? ""The majority of leading economists surveyed in 2023 favoured an inheritance tax, and we had one of those until it was abolished in the late 1970s. Now any political party seeking to reintroduce one would no doubt be sledged for introducing a death tax, embarking on 'class warfare' or, God forbid, engaging in socialism. ""The Cold War ended 35 years ago, yet the term “socialism” is still routinely weaponised to attack sensible policies that align with Australian values. When the Albanese government announced reduced tax concessions on superannuation balances exceeding $3 million, Peter Dutton accused Labor of experimenting “with the same system of socialism which has devastated nations”. But the reality is that we love socialism, as long as you don’t call it socialism."" # auspol https://www. smh.com.au/national/don-t-say- the-s-word-out-loud-but-australia-secretly-loves-socialism-20240909-p5k8yw.html",Evening,Sunday,0.05909090909090909,positive,Gold Coast,"-28.016667,153.400000",timrichards@aus.social,9,1,https://aus.social/@timrichards/113777714699729591
113777565008285522,2025-01-05T20:11:04.511000+00:00,Parliament is not sitting today. There are no committees today. {47} ( https:// politicalgadgets.com/ ) # auspol,Evening,Sunday,0.0,neutral,Gold Coast,"-28.016667,153.400000",politicalgadgets,0,0,https://mastodon.au/@politicalgadgets/113777565008285522
113777557758510571,2025-01-05T20:09:13+00:00,# TheConversation # Science # Tech # auspol Do natural fabrics really keep us cooler in summer? Here’s the science Read more… https:// theconversation.com/do-natural -fabrics-really-keep-us-cooler-in-summer-heres-the-science-240909,Evening,Sunday,0.042857142857142864,positive,Hobart,"-42.882137,147.327195",Alpha1Nine@aus.social,0,0,https://aus.social/@Alpha1Nine/113777557730385903
113777546262152729,2025-01-05T20:06:17+00:00,Howard’s Iraq War legacy: Tasmania’s brief moment of integrity https:// johnmenadue.com/howards-iraq-w ar-legacy-tasmanias-brief-moment-of-integrity/ # Auspol,Evening,Sunday,0.0,neutral,Gold Coast,"-28.016667,153.400000",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113777546169536611
113777534578964433,2025-01-05T20:03:19+00:00,# TheConversation # Science # Tech # auspol Continental drift: why the need for critical minerals might change the way we define Earth’s zones Read more… https:// theconversation.com/continenta l-drift-why-the-need-for-critical-minerals-might-change-the-way-we-define-earths-zones-229498,Evening,Sunday,0.0,neutral,Perth,"-31.950527,115.860458",Alpha1Nine@aus.social,0,0,https://aus.social/@Alpha1Nine/113777534543864419
113777470371736763,2025-01-05T19:47:00+00:00,"The notion of a single person being the head of all branches of government is inimical to democracy itself. Democracy is about sharing power, not concentrating it. John MacGregor The Mechanics of Changing the World # auspol # democracy Review: https:// tinyurl.com/2p8d3svr Buy: https:// books2read.com/thirddraft",Evening,Sunday,-0.014285714285714285,negative,Sydney,"-33.868820,151.209296",tonycart@mastodon.social,0,1,https://mastodon.social/@tonycart/113777470378029750
113777447506663897,2025-01-05T19:41:10+00:00,Social and affordable housing: Whacking a wicked problem https:// johnmenadue.com/social-and-aff ordable-housing-whacking-a-wicked-problem/ # Auspol,Evening,Sunday,0.0,neutral,Brisbane,"-27.469770,153.025131",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113777447426364683
113777412375457960,2025-01-05T19:32:15+00:00,Between a wall and a hard place https:// johnmenadue.com/between-a-wall -and-a-hard-place/ # Auspol,Evening,Sunday,-0.09722222222222222,negative,Perth,"-31.950527,115.860458",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113777412344493476
113777360980632794,2025-01-05T19:19:08+00:00,"Peru: Latest Petroperú oil spill wrecks local fishing, tourism industry https://www. greenleft.org.au/content/peru- latest-petroperu-oil-spill-wrecks-local-fishing-tourism-industry # Auspol",Evening,Sunday,0.125,positive,Brisbane,"-27.469770,153.025131",IndyMediaAus@mastodon.social,0,0,https://mastodon.social/@IndyMediaAus/113777360767494924
